data,remetente,assunto,status
2026-07-01 03:40:27,,Automatize seu atendimento e aumente suas vendas com a Okto,Spam
2026-07-01 11:20:03,,Webinar AO VIVO | WhatsApp ainda é uma máquina de vendas,Spam
2026-07-01 19:16:33,,Currículo - Gabriel Rocha,Spam
2026-07-01 20:03:53,,Dúvida rápida sobre o seu site,Spam
2026-07-02 02:16:34,,MÚSICA AO VIVO NA SUA FESTA,Spam
2026-07-02 03:01:53,,Webinar AO VIVO | WhatsApp ainda é uma máquina de vendas,Spam
2026-07-02 12:27:14,,Transforme Seu Ambiente com Pisos e Tapetes de Alta Qualidade | Espaço & Cia,Spam
2026-07-02 18:16:19,,Guia para pagamento [IRPJ-MENSAL] - Vencimento: 10/07/2026,Falhou
2026-07-02 18:44:40,,"Nos dias 14, 15 e 16 / julho - Negociação para Compradores com IA no Planejamento, Execução e Encerramento",Spam
2026-07-02 20:28:20,,Alinhamento - Proposta Claro Empresas,Entregue
2026-07-03 09:11:34,,Notificação de assinatura digital,Spam
2026-07-03 11:59:59,,ENC:Currículo-Beatriz Oliveira,Spam
2026-07-03 13:16:24,,"Descubra o Elixi do Comendador — Exclusivo, Natural e Brasileiro",Spam
2026-07-03 20:28:38,,O hidronegócio nos rios brasileiros e seus impactos socioambientais,Spam
2026-07-04 17:20:33,,Liquidação: Tapete de Couro Preto 150x200 R$756,Spam
2026-07-05 17:39:24,,Reduza Custos e Regularize a Gestão Ambiental da Sua Empresa com a Ambiservice,Spam
2026-07-09 06:39:10,,,Falhou
2026-07-09 17:16:37,,Transforme seu negócio com um site profissional que vende todos os dias,Spam
2026-07-09 20:54:32,,Consulte CPF e CNPJ com rapidez e segurança,Spam
2026-07-09 20:55:19,,Consulte CPF e CNPJ com rapidez e segurança,Spam
2026-07-09 22:53:59,, IMPORTANTE - Receita Federal - Simples ,Spam
2026-07-10 21:40:43,,Assinar documento: DOCUMENTO.compliance@beng.eng.br.docx,Spam
2026-07-13 17:17:16,,Carta Precatória: Citação e Intimação,Spam
2026-07-13 18:11:00,,,Falhou
2026-07-13 18:11:04,,,Falhou
2026-07-13 20:47:59,,Assine com o Docusing: CONTRATO_ASSINATURA_FINAL.72187671.RWSGA.CONTRATOS.DIGITAIS.pdf,Spam
2026-07-14 02:06:59,,Mandado Judicial Processual - TJSP,Spam
2026-07-14 09:39:20,,Fast & Safe Air Freight & Courier Service For You,Spam
2026-07-14 15:09:51,,Acesso rápido: veja a reclamação registrada,Spam
2026-07-15 00:54:51,, Receita Federal - Serviço de Administração Tributária Simples Nascional ,Spam
2026-07-15 17:46:45,,Fatura 080632461825277 - Guia emitida referente à sua compra,Spam
2026-07-15 18:11:52,,,Falhou
2026-07-15 20:36:21,,,Falhou
2026-07-15 20:36:47,,,Falhou
2026-07-16 15:52:32,,Vencimento do DAS em 20/07/2026,Spam
2026-07-16 18:50:41,,Ação registrada para acompanhamento digital,Spam
2026-07-16 20:45:38,,Re: My Greatest Desire,Spam
2026-07-17 05:07:42,,Teste_2026_07,Entregue
