data_evento,message_id,remetente_estimado,assunto,etapa,detalhe_smtp,tamanho_bytes,anexos,status_final
2026-05-01 08:00:42,<Mbl72iSria62JXt4oAaSD1x69spc4cKnuglyi6TQayc@server.herbalvt.com.br>,server.herbalvt.com.br (estimado),Res: Gustavo Salvador,RECEBIDO (SMTP),"550-5.7.1 [163.172.70.196 18] Gmail has detected that this message is 550-5.7.1 likely suspicious due to the very low reputation of the sending IP 550-5.7.1 address. To best protect our users from spam, the message has been 550-5.7.1 blocked. For more information, go to 550 5.7.1 https://support.google.com/mail/answer/188131",9645,0,Rejeitado (definitivo)
2026-05-01 08:00:42,<Mbl72iSria62JXt4oAaSD1x69spc4cKnuglyi6TQayc@server.herbalvt.com.br>,server.herbalvt.com.br (estimado),Res: Gustavo Salvador,REJEITADO,,9813,0,Rejeitado (definitivo)
2026-05-01 09:43:55,<69f475dc.050a0220.1a60.7673SMTPIN_ADDED_MISSING@mx.google.com>,,O hidronegócio nos rios brasileiros e seus impactos socioambientais,RECEBIDO (SMTP),"550-5.7.1 [124.89.33.106] The IP you're using to send mail is not authorized to 550-5.7.1 send email directly to our servers. Please use the SMTP relay at your 550-5.7.1 service provider instead. For more information, go to 550 5.7.1 https://support.google.com/mail/?p=NotAuthorizedError",5627,0,Rejeitado (definitivo)
2026-05-01 09:43:56,<69f475dc.050a0220.1a60.7673SMTPIN_ADDED_MISSING@mx.google.com>,,O hidronegócio nos rios brasileiros e seus impactos socioambientais,REJEITADO,,5794,0,Rejeitado (definitivo)
2026-05-02 00:52:47,<69f54ae0.5d0a0220.159ac5.0e39SMTPIN_ADDED_MISSING@mx.google.com>,,Para você que cansou de carregar esse fardo sozinho(a),RECEBIDO (SMTP),"550-5.7.28 [2a0f:69c0:281c:1b00:6e1f:f7ff:fe3f:d2dd 1] Gmail has detected 550-5.7.28 an unusual rate of unsolicited mail originating from your IP 550-5.7.28 address. To protect our users from spam, mail sent from your IP 550-5.7.28 address has been blocked. For more information, go to 550-5.7.28 https://support.google.com/mail/?p=UnsolicitedIPError to review our 550 5.7.28 Bulk Email Senders Guidelines.",3591,0,Rejeitado (definitivo)
2026-05-02 00:52:48,<69f54ae0.5d0a0220.159ac5.0e39SMTPIN_ADDED_MISSING@mx.google.com>,,Para você que cansou de carregar esse fardo sozinho(a),REJEITADO,,3758,0,Rejeitado (definitivo)
2026-05-02 00:54:04,<69f54b2c.050a0220.30f679.72c1SMTPIN_ADDED_MISSING@mx.google.com>,,Divulgue para MILHÕES DE EMAILS - Preço de custo,RECEBIDO (SMTP),"550-5.7.28 [95.165.11.213 1] Gmail has detected an unusual rate of 550-5.7.28 unsolicited mail originating from your IP address. To protect our 550-5.7.28 users from spam, mail sent from your IP address has been blocked. 550-5.7.28 For more information, go to 550-5.7.28 https://support.google.com/mail/?p=UnsolicitedIPError to review our 550 5.7.28 Bulk Email Senders Guidelines.",3764,0,Rejeitado (definitivo)
2026-05-02 00:54:04,<69f54b2c.050a0220.30f679.72c1SMTPIN_ADDED_MISSING@mx.google.com>,,Divulgue para MILHÕES DE EMAILS - Preço de custo,REJEITADO,,3930,0,Rejeitado (definitivo)
2026-05-02 08:38:43,<4frLd34rjWz2MxxB@mail.zyike.top>,mail.zyike.top (estimado),Consulte CPF e CNPJ com rapidez e segurança,RECEBIDO (SMTP),"550-5.7.1 [218.82.145.52] The IP you're using to send mail is not authorized to 550-5.7.1 send email directly to our servers. Please use the SMTP relay at your 550-5.7.1 service provider instead. For more information, go to 550 5.7.1 https://support.google.com/mail/?p=NotAuthorizedError",3231,0,Rejeitado (definitivo)
2026-05-02 08:38:44,<4frLd34rjWz2MxxB@mail.zyike.top>,mail.zyike.top (estimado),Consulte CPF e CNPJ com rapidez e segurança,REJEITADO,,3398,0,Rejeitado (definitivo)
2026-05-02 15:11:16,<69f61415.050a0220.23abad.bc80SMTPIN_ADDED_MISSING@mx.google.com>,,Divulgue para MILHÕES DE EMAILS - Preço de custo,RECEBIDO (SMTP),"550-5.7.28 [95.165.11.213 1] Gmail has detected an unusual rate of 550-5.7.28 unsolicited mail originating from your IP address. To protect our 550-5.7.28 users from spam, mail sent from your IP address has been blocked. 550-5.7.28 For more information, go to 550-5.7.28 https://support.google.com/mail/?p=UnsolicitedIPError to review our 550 5.7.28 Bulk Email Senders Guidelines.",3768,0,Rejeitado (definitivo)
2026-05-02 15:11:17,<69f61415.050a0220.23abad.bc80SMTPIN_ADDED_MISSING@mx.google.com>,,Divulgue para MILHÕES DE EMAILS - Preço de custo,REJEITADO,,3932,0,Rejeitado (definitivo)
